,n_features,n_targets,epsilon,mae,mse,friedman_mse
0,6.0,2.0,0.0,1.6440386398283409,1.6437155618782164,1.7156744856143755
1,6.0,2.0,0.01020408163265306,33.780105877496084,34.55071000530893,34.49434800660759
2,6.0,2.0,0.02040816326530612,34.27162345338974,37.08643351104721,36.98935080550625
3,6.0,2.0,0.030612244897959183,29.1682844117588,31.125200926363405,30.738317845024778
4,6.0,2.0,0.04081632653061224,27.23034516661068,31.635166107031996,31.325295729333526
5,6.0,2.0,0.0510204081632653,31.27961144152018,30.466001935183105,29.87978528576134
6,6.0,2.0,0.061224489795918366,36.098641941760505,43.83032040418574,43.84342179011348
7,6.0,2.0,0.07142857142857142,28.423974800351253,31.07184964697243,30.0926641165361
8,6.0,2.0,0.08163265306122448,28.987080247100977,32.840851143580295,32.56854083133063
9,6.0,2.0,0.09183673469387754,32.07807215068623,36.61502430287901,35.99180140262205
10,6.0,2.0,0.1020408163265306,37.207930188195526,38.92747534452876,39.20506081541393
11,6.0,2.0,0.11224489795918366,36.79683575169283,39.83704172935733,40.669596917528686
12,6.0,2.0,0.12244897959183673,28.269529334693292,33.82196462884468,32.69241460469216
13,6.0,2.0,0.13265306122448978,26.211429852203963,27.848487600263006,26.435747672897087
14,6.0,2.0,0.14285714285714285,27.864059466569767,33.27263469103493,33.441892595459166
15,6.0,2.0,0.1530612244897959,33.72182393836984,35.87977937887358,35.78691604730092
16,6.0,2.0,0.16326530612244897,44.81479483681185,44.006648377305176,44.45042345410814
17,6.0,2.0,0.17346938775510204,34.75761298184069,36.03892538575134,37.46294250916511
18,6.0,2.0,0.18367346938775508,34.88527333088089,41.531001887645026,41.047826801337806
19,6.0,2.0,0.19387755102040816,25.964331758601098,28.536325735751703,28.72037968242094
20,6.0,2.0,0.2040816326530612,48.751571676348846,49.09228819461658,49.07553645559898
21,6.0,2.0,0.21428571428571427,31.643514445079013,33.57130049775168,33.91493590216057
22,6.0,2.0,0.22448979591836732,30.026107096293376,33.631464855787165,34.04987274181145
23,6.0,2.0,0.2346938775510204,28.255812784523588,34.485915006785746,34.57391629377392
24,6.0,2.0,0.24489795918367346,32.85225697877299,35.488880678891526,34.70692724777853
25,6.0,2.0,0.25510204081632654,35.8625272804048,39.42969859819126,39.11012537574704
26,6.0,2.0,0.26530612244897955,30.55028932627881,32.79833336054364,32.765315346531544
27,6.0,2.0,0.2755102040816326,38.035517955706744,41.67944736343848,40.24315282024664
28,6.0,2.0,0.2857142857142857,36.27577394686653,37.920602829566924,37.13894838647783
29,6.0,2.0,0.29591836734693877,27.05699127482168,30.851737162888266,30.216980737965397
30,6.0,2.0,0.3061224489795918,48.74556223987601,40.52217009984329,39.92464347594191
31,6.0,2.0,0.31632653061224486,41.296538438660626,42.0135294934372,42.736352212754745
32,6.0,2.0,0.32653061224489793,37.299635280501136,41.54145072669844,40.914938175909874
33,6.0,2.0,0.336734693877551,30.13405966267742,36.770996572405934,36.18381270086098
34,6.0,2.0,0.3469387755102041,38.524711518693586,38.95970389536231,39.247401365732436
35,6.0,2.0,0.3571428571428571,30.433212947439994,30.564267228453797,30.278144349321305
36,6.0,2.0,0.36734693877551017,23.66458487854422,27.844486684799595,27.533256961118123
37,6.0,2.0,0.37755102040816324,36.70341073081902,36.68039263962046,36.80903946836334
38,6.0,2.0,0.3877551020408163,29.368639016723286,31.641078153614433,30.655064186340567
39,6.0,2.0,0.39795918367346933,25.257579551191924,28.347347445947207,27.829034896480298
40,6.0,2.0,0.4081632653061224,31.321626402151633,34.55903938699496,33.858957269101154
41,6.0,2.0,0.4183673469387755,29.90116668070419,32.38998582221587,32.05187906395696
42,6.0,2.0,0.42857142857142855,35.504157038076954,37.10114767497712,36.682949532938025
43,6.0,2.0,0.4387755102040816,35.49983362336193,36.182243813918255,35.73398599876525
44,6.0,2.0,0.44897959183673464,25.220081659514406,27.902055226911344,26.94198165722506
45,6.0,2.0,0.4591836734693877,41.887880330115564,44.948286803095215,43.60101211385559
46,6.0,2.0,0.4693877551020408,35.84804647860075,39.72081169931459,40.00707499522852
47,6.0,2.0,0.47959183673469385,28.580197794822137,33.06651902722441,32.82210115441637
48,6.0,2.0,0.4897959183673469,31.954767847497493,37.407619995208385,36.64099756131326
49,6.0,2.0,0.5,42.9958233602198,43.693775378555266,43.792119574815516
